intent_id,question_variations,answer,tags
greet,Hi|Hello|Hey|Good morning|Good day|Good evening|Hola,Hello! How can I help you today?,greeting
farewell,Bye|Goodbye|See you|Later|Adios,Goodbye! Take care.,farewell
thanks,Thanks|Thank you|Appreciate it|Thanks a lot,You're welcome! Is there anything else I can help with?,acknowledgement
about_app,What can you do?|What is this app?|Tell me about this app,"This app is designed to provide mental health support through assessments, resources, a helpful chatbot amongts others. How can I assist you further?",app_info
def_anxiety,What is anxiety?|Tell me about anxiety|Define anxiety,"Anxiety is a feeling of worry, nervousness, or unease, typically about an imminent event or something with an uncertain outcome. It's a normal human emotion, but can become a disorder when excessive or persistent. Would you like to know more about symptoms or coping strategies?","anxiety,definition"
symptoms_anxiety,What are anxiety symptoms?|How do I know if I have anxiety?|Signs of anxiety,"Common symptoms of anxiety can include feeling nervous or restless, having a sense of impending danger, increased heart rate, rapid breathing, sweating, trembling, and difficulty concentrating. This is not a diagnosis. If you're concerned, consider taking an assessment or speaking with a professional.","anxiety,symptoms"
cope_stress,"How to cope with stress?|Stress management techniques|I'm stressed, what to do?","Some helpful ways to cope with stress include deep breathing exercises, mindfulness, physical activity, getting enough sleep, and talking to someone you trust. Would you like me to guide you through a breathing exercise?","stress,coping_skill"
find_assessment,Where can I find the assessment?|How to take a test?|I want to do an assessment,You can find our mental health assessments in the 'Assessments' section of the app. Taking one can provide you with some insights into your current well-being.,"app_navigation,assessment"
feeling_sad,I'm feeling sad|I feel down|So unhappy,"I hear that you're feeling sad. It's okay to feel that way. Sometimes talking about it or doing a calming activity can help. Would you like to try a mindfulness exercise, or perhaps explore some resources on managing low mood?","emotion_support,sadness"
default_fallback,I don't understand|What?|Huh?,"I'm sorry, I'm still learning and didn't quite understand that. Could you please try rephrasing, or ask about topics like anxiety, stress, or app features?",fallback
def_depression,What is depression?|Can you define depression?|Tell me about depression,"Depression is a mood disorder that causes a persistent feeling of sadness and loss of interest. It can affect how you feel, think, and handle daily activities. If you think you might be depressed, you may want to take a self-assessment or speak to a professional.","depression,definition"
symptoms_depression,Symptoms of depression?|How does depression feel?|Signs of depression,"Symptoms of depression include persistent sadness, lack of interest, fatigue, changes in appetite or sleep, difficulty concentrating, and feelings of hopelessness.","depression,symptoms"
cope_depression,How to deal with depression?|Ways to manage depression|Help with depression,"Coping with depression can involve therapy, medication, physical activity, maintaining routines, and connecting with supportive people. Would you like resources or exercises?","depression,coping_skill"
def_stress,What is stress?|Can you define stress?|Tell me about stress,Stress is the body's response to any demand or challenge. It can be caused by both good and bad experiences. Managing stress is key to mental health.,"stress,definition"
symptoms_stress,Symptoms of stress?|How does stress feel?|Stress signs,"Stress symptoms can include irritability, fatigue, difficulty sleeping, headaches, and changes in appetite.","stress,symptoms"
breathing_exercise,Teach me to breathe|Breathing exercise|Guide me to relax,"Sure! Try this: Inhale slowly for 4 seconds, hold for 7 seconds, then exhale slowly for 8 seconds. Repeat this a few times to feel calmer.","exercise,breathing"
need_help,I need help|I feel overwhelmed|Help me please,I'm here for you. You're not alone. Would you like to talk about how you're feeling or explore coping strategies?,"support,emotion"
recommend_resources,Can you recommend something to read?|I want to learn more|Mental health articles,"Sure! I can recommend some helpful articles and videos on anxiety, stress, depression, and more. Which topic are you interested in?","resources,recommendation"
cope_anxiety,How to manage anxiety?|What helps with anxiety?|Tips for anxiety relief,"Some effective ways to manage anxiety include deep breathing, mindfulness, journaling, and physical activity. Talking to someone you trust or a mental health professional can also help.","anxiety,coping_skill"
emergency_help,I'm in crisis|I need urgent help|Emergency support,"If you're in crisis or feel unsafe, please reach out to a local emergency service or crisis hotline immediately. You are not alone, and there is help available.","emergency,crisis"
